sep=';'
1;The Hunger Games (The Hunger Games, #1);https://images.gr-assets.com/books/1447303603m/2767052.jpg;['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']
2;Harry Potter and the Sorcerer's Stone (Harry Potter, #1);https://images.gr-assets.com/books/1474154022m/3.jpg;['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']
3;Twilight (Twilight, #1);https://images.gr-assets.com/books/1361039443m/41865.jpg;['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']
4;To Kill a Mockingbird;https://images.gr-assets.com/books/1361975680m/2657.jpg;['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Historical Romance', 'Classic Literature', 'Adult']
5;The Great Gatsby;https://images.gr-assets.com/books/1490528560m/4671.jpg;['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Teen', 'Urban Fantasy']
6;The Fault in Our Stars;https://images.gr-assets.com/books/1360206420m/11870085.jpg;['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']
7;The Hobbit;https://images.gr-assets.com/books/1372847500m/5907.jpg;['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'School', 'Science Fiction', 'Novels', 'Read For School']
8;The Catcher in the Rye;https://images.gr-assets.com/books/1398034300m/5107.jpg;['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Science Fiction Fantasy', 'Middle Grade', 'Christian Fiction']
9;Angels & Demons  (Robert Langdon, #1);https://images.gr-assets.com/books/1303390735m/960.jpg;['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']
10;Pride and Prejudice;https://images.gr-assets.com/books/1320399351m/1885.jpg;['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']
11;The Kite Runner;https://images.gr-assets.com/books/1484565687m/77203.jpg;['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']
12;Divergent (Divergent, #1);https://images.gr-assets.com/books/1328559506m/13335037.jpg;['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']
