1,1,1,5
2,1,2,3
3,1,3,4
4,1,4,3
5,1,5,3
6,1,6,5
7,1,7,4
8,1,8,1
9,1,9,5
10,1,10,3
11,1,11,2
12,1,12,5
13,1,13,5
14,1,14,5
15,1,15,5
16,1,16,5
17,1,18,4
18,1,19,5
19,1,20,4
20,1,21,1
21,1,22,4
22,1,23,4
23,1,24,3
24,1,25,4
25,1,26,3
26,1,27,2
27,1,28,4
28,1,29,1
29,1,30,3
30,1,31,3
31,1,32,5
32,1,33,4
33,1,34,2
34,1,35,1
35,1,36,2
36,1,37,2
37,1,38,3
38,1,39,4
39,1,40,3
40,1,41,2
41,1,42,5
42,1,43,4
43,1,44,5
44,1,45,5
45,1,46,4
46,1,48,5
47,1,49,3
48,1,50,5
49,2,1,4
50,2,10,2
51,2,13,4
52,2,14,4
53,2,19,3
54,2,25,4
55,2,50,5
56,4,50,5
57,5,1,4
58,5,2,3
59,5,17,4
60,5,21,3
61,5,25,3
62,5,29,4
63,5,40,4
64,5,42,5
65,5,50,4
66,6,1,4
67,6,7,2
68,6,8,4
69,6,9,4
70,6,12,4
71,6,13,2
72,6,14,5
73,6,15,3
74,6,19,4
75,6,21,3
76,6,22,3
77,6,23,4
78,6,28,2
79,6,32,4
80,6,47,3
81,6,50,4
82,7,4,5
83,7,7,5
84,7,8,5
85,7,9,5
86,7,10,4
87,7,11,3
88,7,12,5
89,7,22,5
90,7,23,3
91,7,25,3
92,7,27,4
93,7,28,5
94,7,29,3
95,7,31,4
96,7,32,4
97,7,39,5
98,7,44,5
99,7,47,5
100,7,50,5
101,8,11,3
102,8,22,5
103,8,50,5
104,9,6,5
105,9,7,4
106,10,1,4
107,10,4,4
108,10,7,4
109,10,9,4
110,10,11,4
111,10,12,5
112,10,13,3
113,10,16,4
114,10,22,5
115,10,23,5
116,10,32,4
117,10,33,4
118,10,40,4
119,10,50,5
120,11,8,4
121,11,9,5
122,11,11,2
123,11,12,2
124,11,15,5
125,11,22,4
126,11,24,3
127,11,25,3
128,11,28,5
129,11,29,3
130,11,38,3
131,11,39,3
132,11,40,3
133,11,42,3
134,11,47,4
135,12,4,5
136,12,50,4
137,13,1,3
138,13,2,3
139,13,4,5
140,13,5,1
141,13,7,2
142,13,8,4
143,13,9,3
144,13,11,1
145,13,12,5
146,13,13,5
147,13,14,4
148,13,17,1
149,13,21,3
150,13,22,4
151,13,23,5
152,13,24,1
153,13,25,1
154,13,27,3
155,13,28,5
156,13,29,2
157,13,32,4
158,13,33,5
159,13,37,1
160,13,38,3
161,13,39,3
162,13,40,2
163,13,42,4
164,13,45,3
165,13,48,5
166,13,49,4
167,13,50,5
168,14,7,5
169,14,9,4
170,14,12,5
171,14,13,4
172,14,14,3
173,14,15,4
174,14,18,3
175,14,19,5
176,14,22,3
177,14,23,5
178,14,25,2
179,14,32,5
180,14,42,4
181,14,50,5
182,15,1,1
183,15,7,1
184,15,9,4
185,15,13,1
186,15,14,4
187,15,15,4
188,15,18,1
189,15,25,3
190,15,50,5
191,16,1,5
192,16,4,5
193,16,7,5
194,16,8,5
195,16,9,5
196,16,11,5
197,16,12,5
198,16,15,5
199,16,22,5
200,16,27,2
201,16,28,5
202,16,31,5
203,16,33,2
204,16,39,5
205,17,1,4
206,17,9,3
207,17,13,3
208,18,1,5
209,18,4,3
210,18,6,5
211,18,8,5
212,18,9,5
213,18,12,5
214,18,13,5
215,18,14,5
216,18,15,4
217,18,19,3
218,18,22,5
219,18,23,4
220,18,25,3
221,18,26,4
222,18,28,3
223,18,32,2
224,18,42,3
225,18,45,5
226,18,47,3
227,18,48,4
228,18,50,4
229,19,4,4
230,20,11,2
231,20,15,4
232,20,22,5
233,20,50,3
234,21,1,5
235,21,5,2
236,21,7,5
237,21,9,5
238,21,15,4
239,21,17,4
240,21,50,3
241,22,2,2
242,22,4,5
243,22,17,4
244,22,21,4
245,22,24,5
246,22,29,1
247,22,50,5
248,23,1,5
249,23,7,4
250,23,8,4
251,23,13,4
252,23,14,4
253,23,19,4
254,23,28,3
255,23,32,3
256,23,50,4
257,24,7,4
258,24,8,5
259,24,9,5
260,24,11,5
261,24,12,5
262,24,41,5
263,25,1,5
264,25,7,4
265,25,8,4
266,25,13,4
267,25,23,4
268,25,25,5
269,25,50,5
270,26,1,3
271,26,13,3
272,26,14,3
273,26,15,4
274,26,24,3
275,26,25,3
276,26,50,4
277,27,9,4
278,28,5,3
279,28,7,5
280,28,11,4
